experiment_dir,run_dir,suite,engine,node_count,node_rank,node,model,model_label,threads,threads_batch,ctx_size,parallel_requests,bench_concurrency,cache_type_k,cache_type_v,max_tokens,trial,prompt_id,category,mandatory,status,error,ttft_s,tpot_s,total_s,output_token_events,throughput_output_tok_s,max_rss_kb,max_vmhwm_kb
measurements/1258624-track-a1-server-sweep,measurements/1258624-track-a1-server-sweep/concurrency/tq/model-1-mandatory/t_24_c_2048_p_16_n_128_k_turbo2_v_turbo2,concurrency,tq,,,cna1544,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,16,turbo2,turbo2,128,1,long_hpc_case_study,long,False,,HTTP Error 400: Bad Request,,,0.035804789018584415,0,0.0,5115648,5115648
measurements/1258624-track-a1-server-sweep,measurements/1258624-track-a1-server-sweep/concurrency/tq/model-1-mandatory/t_24_c_2048_p_16_n_128_k_turbo2_v_turbo2,concurrency,tq,,,cna1544,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,16,turbo2,turbo2,128,1,long_memory_bound_reasoning,long,False,,HTTP Error 400: Bad Request,,,0.03545292801572941,0,0.0,5115648,5115648
measurements/1258624-track-a1-server-sweep,measurements/1258624-track-a1-server-sweep/concurrency/tq/model-1-mandatory/t_24_c_2048_p_16_n_128_k_turbo2_v_turbo2,concurrency,tq,,,cna1544,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,16,turbo2,turbo2,128,1,long_quantisation_evaluation,long,False,200,,1.597652782977093,1.5714167110039852,9.455207598977722,6,0.634570942752088,5115648,5115648
measurements/1258624-track-a1-server-sweep,measurements/1258624-track-a1-server-sweep/concurrency/tq/model-1-mandatory/t_24_c_2048_p_16_n_128_k_turbo2_v_turbo2,concurrency,tq,,,cna1544,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,16,turbo2,turbo2,128,1,mandatory_short_capital_france,short,True,200,,1.6125441520125605,1.5505560163340608,12.36598844101536,7,0.5660687807844365,5115648,5115648
measurements/1258624-track-a1-server-sweep,measurements/1258624-track-a1-server-sweep/concurrency/tq/model-1-mandatory/t_24_c_2048_p_16_n_128_k_turbo2_v_turbo2,concurrency,tq,,,cna1544,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,16,turbo2,turbo2,128,1,long_concurrency_server,long,False,200,,1.595843880000757,1.4591314099223103,20.56506143999286,14,0.6807662617906995,5115648,5115648
measurements/1258624-track-a1-server-sweep,measurements/1258624-track-a1-server-sweep/concurrency/tq/model-1-mandatory/t_24_c_2048_p_16_n_128_k_turbo2_v_turbo2,concurrency,tq,,,cna1544,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,16,turbo2,turbo2,128,1,mandatory_long_transformer_cpu,long,True,200,,1.601067809999222,1.2830467896581674,102.96223675500369,80,0.7769838974104476,5115648,5115648
measurements/1258624-track-a1-server-sweep,measurements/1258624-track-a1-server-sweep/concurrency/tq/model-1-mandatory/t_24_c_2048_p_16_n_128_k_turbo2_v_turbo2,concurrency,tq,,,cna1544,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,16,turbo2,turbo2,128,1,medium_quant_tradeoff,medium,False,200,,1.6019435209746007,1.2407861676850396,159.1825557689881,128,0.8041082101091439,5115648,5115648
measurements/1258624-track-a1-server-sweep,measurements/1258624-track-a1-server-sweep/concurrency/tq/model-1-mandatory/t_24_c_2048_p_16_n_128_k_turbo2_v_turbo2,concurrency,tq,,,cna1544,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,16,turbo2,turbo2,128,1,medium_cpu_inference_pipeline,medium,False,200,,1.6051462780160364,1.240783926267516,159.18604619801044,128,0.8040905786477143,5115648,5115648
measurements/1258624-track-a1-server-sweep,measurements/1258624-track-a1-server-sweep/concurrency/tq/model-1-mandatory/t_24_c_2048_p_16_n_128_k_turbo2_v_turbo2,concurrency,tq,,,cna1544,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,16,turbo2,turbo2,128,1,mandatory_medium_ml_vs_dl,medium,True,200,,1.6048551670101006,1.240776288456707,159.18746344101964,128,0.8040834198443342,5115648,5115648
measurements/1258624-track-a1-server-sweep,measurements/1258624-track-a1-server-sweep/concurrency/tq/model-1-mandatory/t_24_c_2048_p_16_n_128_k_turbo2_v_turbo2,concurrency,tq,,,cna1544,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,16,turbo2,turbo2,128,1,short_threading_definition,short,False,200,,1.6080502230033744,1.2407812658739992,159.19069598798524,128,0.8040670920218898,5115648,5115648
measurements/1258624-track-a1-server-sweep,measurements/1258624-track-a1-server-sweep/concurrency/tq/model-1-mandatory/t_24_c_2048_p_16_n_128_k_turbo2_v_turbo2,concurrency,tq,,,cna1544,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,16,turbo2,turbo2,128,1,medium_thread_scaling,medium,False,200,,1.6055992390029132,1.2407783021731944,159.18864102600492,128,0.8040774717028336,5115648,5115648
measurements/1258624-track-a1-server-sweep,measurements/1258624-track-a1-server-sweep/concurrency/tq/model-1-mandatory/t_24_c_2048_p_16_n_128_k_turbo2_v_turbo2,concurrency,tq,,,cna1544,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,16,turbo2,turbo2,128,1,short_cpu_quantisation,short,False,200,,1.6126075020001736,1.2407741609999294,159.1934817849833,128,0.8040530212969701,5115648,5115648
measurements/1258624-track-a1-server-sweep,measurements/1258624-track-a1-server-sweep/concurrency/tq/model-1-mandatory/t_24_c_2048_p_16_n_128_k_turbo2_v_turbo2,concurrency,tq,,,cna1544,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,16,turbo2,turbo2,128,1,medium_concurrency,medium,False,200,,1.6057369890040718,1.2408027061812148,159.1902324000257,128,0.8040694335966013,5115648,5115648
measurements/1258624-track-a1-server-sweep,measurements/1258624-track-a1-server-sweep/concurrency/tq/model-1-mandatory/t_24_c_2048_p_16_n_128_k_turbo2_v_turbo2,concurrency,tq,,,cna1544,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,16,turbo2,turbo2,128,1,short_batching,short,False,200,,1.610220976988785,1.240807082740073,159.19449042898486,128,0.8040479268791,5115648,5115648
