experiment_dir,suite,engine,model_label,threads,ctx_size,parallel_requests,cache_type_k,cache_type_v,max_tokens,prompt_id,category,mandatory,prompt_text,runs,successful_runs,error_runs,first_success_answer
measurements/1256104-track-a1-server-sweep,concurrency,tq,model-1-mandatory,24,2048,1,turbo2,turbo2,128,long_hpc_case_study,long,False,"A university research group wants to deploy local language model inference on a CPU-only HPC system. The cluster has separate ARM and x86 partitions, batch scheduling through SLURM, shared filesystems, and no GPU access for the assignment. The group selects llama.cpp because it supports GGUF models, HTTP serving, quantised weights, and configurable thread counts. They plan to benchmark three required report models: a mandatory Llama 3.1 8B Q4 model, a smaller TinyLlama 1.1B Q4 model, and a Qwen2.5 1.5B Q4 model. They may also run optional appendix experiments with GPT-OSS 20B Q4 and SmolLM2 360M Q4. They will measure TTFT, TPOT, throughput, memory high-water mark, CPU utilisation, and goodput against a latency SLA. The workload includes short factual prompts, medium explanatory prompts, and long context-heavy prompts. The team must compare model size, thread counts, context sizes, decode lengths, KV-cache modes, and concurrent requests. They also need to measure memory bandwidth using a STREAM-like triad and build a simple model that predicts a lower bound on TPOT from model size divided by bandwidth. Discuss how this team should structure the experiment, what pitfalls they must avoid, and how they should interpret results when observed TPOT is much larger than the bandwidth lower bound.",3,3,0,"To structure the experiment, the team should follow these steps:\n\n1.  **Define the experiment goals**: The team should clearly define the goals of the experiment, such as comparing model size, thread counts, context sizes, and decode lengths, and measuring memory bandwidth.\n2.  **Select the models and configurations**: The team should select the three required report models (Llama 3.1, TinyLlama 1.1, and Qwen2.5) and two optional models (GPT-OSS 20B and SmolLm 360M) and configure the thread counts, context sizes, and decode lengths"
measurements/1256104-track-a1-server-sweep,concurrency,tq,model-1-mandatory,24,2048,1,turbo2,turbo2,128,long_memory_bound_reasoning,long,False,"Consider a transformer decoder running autoregressive inference. During each decode step, the model consumes the previous token, reads model weights, performs matrix-vector operations, updates attention state, samples the next token, and streams it back to the user. On a CPU-only node, the arithmetic units may be capable of more operations per second than the memory subsystem can feed when the batch size is small. This means the model can become memory-bandwidth bound: the time per output token is dominated by moving weights and intermediate data rather than by floating-point arithmetic alone. Quantisation reduces the number of bytes used for weights and sometimes for the KV cache, but it can add dequantisation work or reduce kernel efficiency. Threading can improve throughput until the memory channels are saturated, after which extra threads mostly add contention. Context length affects prefill and KV-cache memory, while decode length tests whether TPOT remains stable over time. Explain this performance story carefully. Identify which measurements would support or refute the claim that decoding is memory-bound, and describe how you would use throughput, TPOT, memory, CPU utilisation, and a predicted-versus-observed TPOT plot to justify the conclusion.",3,3,0,"The story of a transformer decoder running autoregressive inference can be broken down into several key components that affect its performance. The model's performance is influenced by the following factors:\n\n1.  **Memory-bound vs. CPU-bound:** The model's performance is memory-bound when the arithmetic units can handle more operations per second than the memory subsystem can feed. This is when the batch size is small, and the model is CPU-only. In this scenario, the model is memory-bound, and the time per output token is dominated by moving weights and intermediate data rather than floating-point arithmetic.\n\n2. **Quantization:** Quantization reduces the number of"
measurements/1256104-track-a1-server-sweep,concurrency,tq,model-1-mandatory,24,2048,1,turbo2,turbo2,128,mandatory_long_transformer_cpu,long,True,"The transformer architecture, introduced in the paper ""Attention is All You Need"" by Vaswani et al. in 2017, has become the foundation for most modern large language models. Unlike recurrent neural networks, which process sequences sequentially, transformers process all tokens in parallel using self-attention mechanisms. This allows better parallelisation during training and has proven more effective at capturing long-range dependencies in text. When deploying transformers for inference on CPU, the main bottlenecks are the model's large memory footprint and the repeated loading of weights during the decoding phase. Based on this context, what are the main challenges when running large transformer models on CPU-only systems, and how might quantisation help address these challenges?",3,3,0,"Based on the context provided, the main challenges when running large transformer models on CPU-only systems are:\n\n1.  **Large Memory Footprint**: The transformer model's large memory requirements can be a significant challenge when running on CPU-only systems, as they require a lot of memory to store the model's weights and other data structures.\n\n2.  **Repeated Loading of Weights**: The repeated loading of weights during the decoding phase can be another bottleneck, as it can lead to slower inference times.\n\nQuantization can help address these challenges:\n\nQuantization is a technique used in deep learning to reduce the precision of model weights and activations, which can"
measurements/1256104-track-a1-server-sweep,concurrency,tq,model-1-mandatory,24,2048,1,turbo2,turbo2,128,mandatory_medium_ml_vs_dl,medium,True,"Explain the key differences between machine learning and deep learning, and provide an example of each.",3,3,0,Machine learning (ML) and deep learning (DL) are both subsets of artificial intelligence (AI) that enable computers to learn from data without being explicitly programmed. The main difference between ML and DL lies in the complexity of the models used and the type of tasks they can perform.\n\n**Machine Learning (ML)**\n\nMachine learning is a subset of AI that enables computers to learn from data without being explicitly programmed. It uses algorithms to analyze data and make predictions or decisions based on the data provided. ML models are typically simpler and more interpretable than DL models.\n\n**Example of Machine Learning:**\n\n1. Spam Filter: A spam filter uses
measurements/1256104-track-a1-server-sweep,concurrency,tq,model-1-mandatory,24,2048,1,turbo2,turbo2,128,mandatory_short_capital_france,short,True,What is the capital of France?,3,3,0,The capital of France is Paris.
measurements/1256104-track-a1-server-sweep,concurrency,tq,model-1-mandatory,24,2048,1,turbo2,turbo2,128,medium_cpu_inference_pipeline,medium,False,"A team is deploying a quantised chat model on a CPU-only cluster node. The server accepts HTTP requests, tokenizes the prompt, evaluates the prompt, and then generates one token at a time. Explain the main stages of this inference pipeline, what TTFT and TPOT measure, and which parts of the pipeline are most sensitive to prompt length, output length, and thread count.",3,3,0,"Based on the information provided, here are the main stages of the quantized chat model pipeline:\n\n1. **HTTP Request**: The server accepts HTTP requests from clients.\n2. **Tokenization**: The server tokenizes the input prompt into smaller, manageable chunks.\n3. **Evaluation**: The server evaluates each tokenized prompt.\n4. **Token Generation**: The server generates one token at a time.\n\nThe main stages of the pipeline are:\n\n1. **HTTP Request**: The server accepts HTTP requests from clients.\n2. **Tokenization**: The server tokenizes the input prompt into smaller chunks.\n3. **Evaluation**: The server evaluates each"
measurements/1256104-track-a1-server-sweep,concurrency,tq,model-1-mandatory,24,2048,1,turbo2,turbo2,128,medium_quant_tradeoff,medium,False,"A model is available in Q8_0, Q5_K_M, Q4_K_M, and Q2_K quantisation formats. Write a short analysis of the expected trade-offs between memory footprint, throughput, and output quality. Explain why the smallest model is not always the best choice for a production CPU inference service.",3,3,0,"The model is available in various quantization formats, which implies that the model has been optimized for different use cases. Here's a brief analysis of the trade-offs between memory footprint, throughput, and output quality:\n\n1.  **Q8_0**: This is the highest precision model, which means it has the highest memory footprint. However, it also has the highest throughput and is likely to produce the most accurate output. This model is ideal for scenarios where high accuracy is required, such as in medical imaging or financial transactions.\n\n2.  **Q5_K_M**: This model has a lower memory footprint compared to Q8_0"
measurements/1256104-track-a1-server-sweep,concurrency,tq,model-1-mandatory,24,2048,1,turbo2,turbo2,128,short_cpu_quantisation,short,False,"In two concise paragraphs, explain why quantisation is useful when running neural network inference on CPUs with limited memory bandwidth. Mention one benefit and one possible drawback.",3,3,0,"Quantization is a technique used to reduce the memory requirements of neural networks during inference on CPUs with limited memory bandwidth. This is because the weights and activations of the network are represented as integers instead of floating point numbers. This results in a significant reduction in memory usage, allowing the network to be run on devices with limited memory bandwidth. \n\nOne benefit of quantization is that it allows for faster inference times on devices with limited memory bandwidth. This is because the reduced memory requirements enable the network to be processed in parallel with the CPU, resulting in faster inference times. \n\nOne possible drawback of quantization is that it can lead to a loss of"
measurements/1256104-track-a1-server-sweep,concurrency,tq,model-1-mandatory,24,2048,1,turbo2,turbo2,128,short_threading_definition,short,False,Define thread parallelism for CPU inference. Explain why using more threads can improve throughput at first but eventually stop helping.,3,3,0,"**Thread Parallelism for CPU Inference**\n\nThread parallelism is a technique used to improve the performance of CPU inference by executing multiple threads concurrently. This approach is particularly useful for CPU-bound tasks, such as neural network inference, where the CPU is the primary bottleneck.\n\n**Why Using More Threads Can Improve Throughput**\n\nWhen a single-threaded CPU inference task is executed, the CPU can only process one instruction at a time. This leads to a significant portion of the CPU's processing power being idle, waiting for the CPU to execute the next instruction.\n\nBy introducing multiple threads, each thread can execute a separate portion of the inference task, allowing"
measurements/1256104-track-a1-server-sweep,concurrency,tq,model-1-mandatory,24,2048,1,turbo3,turbo3,128,long_hpc_case_study,long,False,"A university research group wants to deploy local language model inference on a CPU-only HPC system. The cluster has separate ARM and x86 partitions, batch scheduling through SLURM, shared filesystems, and no GPU access for the assignment. The group selects llama.cpp because it supports GGUF models, HTTP serving, quantised weights, and configurable thread counts. They plan to benchmark three required report models: a mandatory Llama 3.1 8B Q4 model, a smaller TinyLlama 1.1B Q4 model, and a Qwen2.5 1.5B Q4 model. They may also run optional appendix experiments with GPT-OSS 20B Q4 and SmolLM2 360M Q4. They will measure TTFT, TPOT, throughput, memory high-water mark, CPU utilisation, and goodput against a latency SLA. The workload includes short factual prompts, medium explanatory prompts, and long context-heavy prompts. The team must compare model size, thread counts, context sizes, decode lengths, KV-cache modes, and concurrent requests. They also need to measure memory bandwidth using a STREAM-like triad and build a simple model that predicts a lower bound on TPOT from model size divided by bandwidth. Discuss how this team should structure the experiment, what pitfalls they must avoid, and how they should interpret results when observed TPOT is much larger than the bandwidth lower bound.",3,3,0,"**Experiment Structure**\n\n1. **Model Preparation**: Prepare the required report models (Llama 3.1 8B Q4, TinyLlama 1.1B Q4, Qwen2.5 1.5B Q4) and optional appendix models (GPT-OSS 20B Q4, SmolLM2 360M Q4) for deployment on the CPU-only HPC system. This includes converting the models to a format compatible with the chosen inference framework (e.g., llama.cpp).\n2. **Benchmarking Framework**: Develop a benchmarking framework to measure the desired metrics (TTFT"
measurements/1256104-track-a1-server-sweep,concurrency,tq,model-1-mandatory,24,2048,1,turbo3,turbo3,128,long_memory_bound_reasoning,long,False,"Consider a transformer decoder running autoregressive inference. During each decode step, the model consumes the previous token, reads model weights, performs matrix-vector operations, updates attention state, samples the next token, and streams it back to the user. On a CPU-only node, the arithmetic units may be capable of more operations per second than the memory subsystem can feed when the batch size is small. This means the model can become memory-bandwidth bound: the time per output token is dominated by moving weights and intermediate data rather than by floating-point arithmetic alone. Quantisation reduces the number of bytes used for weights and sometimes for the KV cache, but it can add dequantisation work or reduce kernel efficiency. Threading can improve throughput until the memory channels are saturated, after which extra threads mostly add contention. Context length affects prefill and KV-cache memory, while decode length tests whether TPOT remains stable over time. Explain this performance story carefully. Identify which measurements would support or refute the claim that decoding is memory-bound, and describe how you would use throughput, TPOT, memory, CPU utilisation, and a predicted-versus-observed TPOT plot to justify the conclusion.",3,3,0,"Let's break down the performance story of a transformer decoder running autoregressive inference on a CPU-only node.\n\n**Memory-bandwidth bound**: When the batch size is small, the model's performance is limited by the memory subsystem's ability to feed data to the arithmetic units. This is known as memory-bandwidth bound. In other words, the model spends more time waiting for data to be loaded into memory than it does performing actual computations.\n\n**Quantisation**: Quantisation reduces the number of bytes used for weights and sometimes for the KV cache. However, it can add dequantisation work or reduce kernel efficiency. This means that while quant"
